timestamps,TP9,AF7,AF8,TP10,Right AUX
1746583604.989,-377.441,-110.352,-64.941,-317.871,0.000
1746583604.993,-850.586,177.246,29.785,-827.148,0.000
1746583604.996,467.773,58.105,-1.953,425.293,0.000
1746583605.000,-1000.000,-227.051,-98.633,-1000.000,0.000
1746583605.004,-872.559,-187.988,-88.379,-763.184,0.000
1746583605.008,676.270,109.863,16.113,819.336,0.000
1746583605.012,-987.793,162.598,9.277,947.754,0.000
1746583605.016,-472.168,-126.953,-92.773,-549.805,0.000
1746583605.020,-1000.000,-245.117,-104.492,-1000.000,0.000
1746583605.024,21.484,26.367,-5.859,96.191,0.000
1746583605.028,-791.016,200.684,41.992,-788.574,0.000
1746583605.032,89.355,-65.430,-55.664,46.387,0.000
1746583605.036,-1000.000,-260.254,-128.418,-1000.000,0.000
1746583605.039,-248.535,-42.969,-52.734,-244.141,0.000
1746583605.043,-814.941,197.266,38.574,-812.988,0.000
1746583605.047,241.699,24.414,-32.227,240.234,0.000
1746583605.051,-1000.000,-232.910,-131.348,-1000.000,0.000
1746583605.055,-505.859,-128.906,-77.637,-421.875,0.000
1746583605.059,-917.969,160.645,46.875,-875.977,0.000
1746583605.063,604.492,114.746,43.457,560.059,0.000
1746583605.067,-976.562,-181.152,-78.125,-1000.000,0.000
1746583605.071,-997.559,-164.551,-96.680,-908.691,0.000
1746583605.075,472.168,128.906,0.977,612.793,0.000
1746583605.079,-857.910,177.246,31.738,-905.762,0.000
1746583605.082,-236.328,-122.559,-52.246,-321.777,0.000
1746583605.086,-1000.000,-239.746,-108.887,-1000.000,0.000
1746583605.090,-132.812,22.949,-34.668,-44.434,0.000
1746583605.094,-800.293,217.773,21.973,-788.086,0.000
1746583605.098,221.680,-10.254,-73.242,182.129,0.000
1746583605.102,-1000.000,-228.516,-151.855,-1000.000,0.000
1746583605.106,-264.648,-29.297,-79.102,-260.254,0.000
1746583605.110,-809.082,251.953,18.555,-809.082,0.000
1746583605.114,278.809,83.496,-47.363,258.789,0.000
1746583605.118,-1000.000,-193.848,-153.809,-1000.000,0.000
1746583605.122,-630.859,-92.773,-121.094,-564.453,0.000
1746583605.125,989.746,193.359,-10.254,-963.867,0.000
1746583605.129,738.281,175.781,-12.695,686.035,0.000
1746583605.133,-822.266,-125.488,-129.395,-886.719,0.000
1746583605.137,-1000.000,-165.039,-150.391,-1000.000,0.000
1746583605.141,244.629,115.723,-50.781,369.141,0.000
1746583605.145,-811.035,229.492,2.930,-833.008,0.000
1746583605.149,-105.469,-41.992,-61.035,-168.457,0.000
